Id,Name,PhoneNumber,Email
1,ABC Inc.,123-456-7890,abc@example.com
2,XYZ Ltd.,987-654-3210,xyz@example.com
3,LMN Corp.,111-222-3333,lmn@example.com
4,PQR Enterprises,555-666-7777,pqr@example.com
5,UVW Industries,999-888-7777,uvw@example.com
6,OPQ Solutions,333-111-5555,opq@example.com
7,RST Holdings,888-777-6666,rst@example.com
8,JKL Ventures,555-123-7890,jkl@example.com
9,MNO Innovations,222-999-4444,mno@example.com
10,EFG Group,777-444-2222,efg@example.com
11,ABC Inc.,111-222-3333,abc2@example.com
12,XYZ Ltd.,444-555-6666,xyz2@example.com
13,LMN Corp.,888-999-1111,lmn2@example.com
14,PQR Enterprises,777-888-9999,pqr2@example.com
15,UVW Industries,666-555-4444,uvw2@example.com
16,OPQ Solutions,222-333-4444,opq2@example.com
17,RST Holdings,999-888-7777,rst2@example.com
18,JKL Ventures,555-444-3333,jkl2@example.com
19,MNO Innovations,666-777-8888,mno2@example.com
20,New Company,111-111-1111,new@example.com
